Types of use,Baden-Württemberg (Area in sq km),Bayern (Area in sq km),Berlin (Area in sq km),Brandenburg (Area in sq km),Bremen (Area in sq km),Hamburg (Area in sq km),Hessen (Area in sq km),Mecklenburg-Vorpommern (Area in sq km),Niedersachsen (Area in sq km),Nordrhein-Westfalen (Area in sq km),Rheinland-Pfalz (Area in sq km),Saarland (Area in sq km),Sachsen (Area in sq km),Sachsen-Anhalt (Area in sq km),Schleswig-Holstein (Area in sq km),Thüringen (Area in sq km),Year
Industry and commerce,523.42,482.35,36.04,303.68,34.91,44.09,215.66,146.8,464.88,658.19,180.45,55.01,229.79,167.06,110.27,183.72,2019
Stockpile,13.95,3.46,0.07,9.29,0.56,0.04,9.21,0.48,11.59,39.35,5.1,5.53,20.35,25.5,2.04,6.47,2019
Mining company,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.0,0.12,7.09,0.01,0.0,0.0,1.26,0.0,2.68,2019
"Open-cast mine, pit, quarry",70.63,154.36,0.05,316.21,0.03,0.24,42.73,54.56,215.25,196.36,45.04,5.85,212.43,97.87,45.12,37.85,2019
Mixed-use area,356.05,1216.94,29.98,239.78,7.84,18.02,247.53,173.4,614.8,701.48,180.96,38.02,60.52,148.56,227.31,140.64,2019
Area with special functional character,166.4,303.7,44.11,69.85,12.95,23.59,120.87,60.75,193.94,323.42,104.06,24.13,83.91,80.1,69.01,44.03,2019
"Sports, leisure and recreation area",378.92,558.28,120.16,271.78,39.83,64.72,260.8,371.79,536.65,862.47,347.39,33.59,282.07,519.2,187.85,388.41,2019
Public park,167.17,198.15,95.68,131.71,31.69,50.29,123.48,300.4,279.18,559.77,228.34,12.1,119.57,441.03,87.38,303.73,2019
Cemetery,37.0,42.09,11.02,23.31,3.15,8.37,29.49,13.77,43.03,89.48,21.53,6.49,17.35,18.18,13.3,11.16,2019
Transport,1986.88,3323.71,135.49,1099.81,52.14,93.98,1441.58,706.42,2472.04,2386.98,1203.43,161.89,810.87,791.85,690.7,697.89,2019
Road transport,984.88,1748.11,101.23,676.58,29.29,66.25,581.69,362.06,1330.59,1304.73,513.11,115.36,476.97,369.79,453.58,301.2,2019
Path,824.39,1300.68,5.54,249.99,9.3,5.76,727.02,237.24,934.39,816.85,588.92,26.46,197.65,318.52,161.73,323.56,2019
Square,37.93,57.61,3.85,16.24,1.53,1.76,23.61,12.16,41.21,63.82,29.65,3.73,16.44,15.36,14.46,10.12,2019
Rail transport,111.36,160.28,20.17,108.63,7.11,10.58,80.2,57.0,126.2,151.63,52.86,14.73,99.97,75.67,33.82,53.39,2019
Air transport,27.87,53.55,4.58,47.17,2.92,9.54,28.34,35.32,35.48,46.46,17.83,1.6,19.84,10.66,23.74,9.63,2019
Waterways transport,0.45,3.47,0.13,1.21,1.98,0.08,0.71,2.62,4.16,3.49,1.06,0.01,0.0,1.85,3.37,0.0,2019
Vegetation,30048.87,60618.95,203.8,25520.2,133.81,248.18,17405.56,19966.79,39750.8,25417.23,16671.46,1989.27,15302.5,17642.41,12914.17,14063.15,2019
Agriculture,16115.45,32654.83,35.7,14426.13,117.56,172.49,8777.7,14388.38,27704.32,16078.48,8110.13,1102.52,9987.1,12334.46,10841.93,8432.72,2019
Forest,13526.58,24923.26,157.75,10320.03,4.55,42.42,8405.2,4944.57,10310.21,8471.15,8060.1,856.02,4955.43,4575.87,1625.92,5408.73,2019
Trees and shrubs,180.96,900.95,7.48,272.87,5.59,19.33,131.68,220.34,608.34,594.43,451.84,14.23,93.75,546.18,57.08,133.97,2019
Heath,12.9,17.8,0.06,129.34,0.69,2.61,1.37,17.17,239.96,50.46,3.78,0.97,27.15,145.82,22.1,13.15,2019
Moor,20.09,128.12,0.45,1.44,0.35,1.98,0.83,29.04,515.49,13.37,0.8,0.02,0.62,1.14,87.99,0.47,2019
Mire,3.22,22.84,0.55,38.45,2.49,2.55,4.65,132.53,64.41,12.97,5.36,0.28,5.18,37.77,42.19,5.01,2019
"Infertile land, area without vegetation",189.66,1971.15,1.8,331.95,2.58,6.8,84.12,234.77,308.08,196.37,39.44,15.22,233.27,1.17,236.96,69.09,2019
Water body,391.36,1216.3,58.47,997.64,49.21,61.94,292.06,1334.73,1009.63,621.85,284.94,25.73,438.27,452.78,765.56,194.28,2019
Body of running water,282.87,501.93,30.0,345.66,38.98,42.94,218.56,201.52,634.85,325.48,218.49,20.49,145.7,245.58,274.77,96.19,2019
Port basin,5.17,1.69,0.6,0.73,5.63,7.26,1.35,6.14,11.96,8.26,4.48,0.11,0.53,1.89,18.01,0.0,2019
Body of standing water,103.32,712.69,27.88,651.25,4.59,7.48,72.15,935.45,338.21,288.11,61.97,5.13,292.04,205.31,357.52,98.1,2019
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,191.63,24.61,0.0,0.0,0.0,0.0,0.0,115.25,0.0,2019
Housing area,3338.09,5421.55,493.71,2065.78,185.42,351.49,1983.22,1290.86,4491.22,5703.28,1709.59,394.7,1920.09,1570.37,1448.29,1248.66,2020
Residential building area,1573.02,2197.74,222.3,672.57,69.0,169.05,923.83,388.28,2073.5,2446.53,719.33,205.27,872.3,381.14,688.85,335.97,2020
Industrial and commercial area,743.24,935.2,66.64,447.53,51.84,69.12,346.24,226.08,804.15,1027.6,297.69,76.48,359.32,308.62,203.72,280.74,2020
Industry and commerce,526.89,485.57,35.93,296.89,35.04,43.92,215.9,145.98,466.34,656.84,182.75,55.09,230.92,166.95,110.84,183.06,2020
Stockpile,13.91,3.58,0.07,9.07,0.49,0.03,9.28,0.46,11.8,38.02,4.34,5.53,20.39,24.91,2.05,6.71,2020
Mining company,0.0,0.06,0.0,0.0,0.0,0.0,0.05,0.0,0.2,7.15,0.01,0.0,0.0,1.27,0.0,2.31,2020
"Open-cast mine, pit, quarry",71.12,154.46,0.05,313.72,0.03,0.23,43.0,56.18,212.39,194.6,45.02,5.85,212.46,93.99,44.52,38.28,2020
Mixed-use area,352.35,1222.88,29.34,227.88,7.78,16.54,248.66,173.61,614.39,704.26,184.0,37.43,65.16,148.39,229.28,141.75,2020
Area with special functional character,166.35,304.56,44.1,71.52,12.89,23.36,120.55,59.81,191.75,324.49,104.96,24.15,86.25,76.51,70.02,43.99,2020
"Sports, leisure and recreation area",381.04,560.89,120.21,300.22,40.29,64.79,262.08,372.67,540.07,870.76,332.71,33.49,286.86,517.37,196.52,387.8,2020
Public park,168.9,198.8,93.55,153.94,32.3,50.43,124.32,300.83,282.71,567.72,212.75,12.03,119.66,440.88,94.28,303.31,2020
Cemetery,37.06,42.19,11.0,23.27,3.1,8.37,29.53,13.76,42.98,89.87,21.53,6.51,17.36,18.18,13.33,11.12,2020
Transport,1989.8,3327.31,135.28,1096.66,52.03,93.37,1440.53,707.02,2480.37,2389.31,1209.4,161.97,811.47,789.35,692.97,699.34,2020
Road transport,986.87,1754.24,101.03,664.78,27.9,65.9,581.5,362.28,1330.41,1301.37,513.22,115.43,477.83,368.82,454.13,301.27,2020
Path,825.07,1297.66,5.51,260.48,10.6,5.54,726.61,237.89,942.85,824.57,596.09,26.45,197.48,318.78,161.54,326.18,2020
Square,38.28,57.82,3.83,16.58,1.56,1.82,23.69,12.2,41.46,63.8,28.47,3.75,16.54,14.98,14.5,10.1,2020
Rail transport,111.28,160.62,20.21,106.44,7.21,10.49,79.78,56.85,126.09,150.53,52.68,14.72,99.37,74.48,33.49,52.52,2020
Air transport,27.85,53.52,4.58,47.12,2.92,9.54,28.23,35.18,35.41,46.48,17.88,1.6,20.26,10.65,26.09,9.27,2020
Waterways transport,0.45,3.46,0.12,1.25,1.85,0.08,0.72,2.62,4.16,2.57,1.06,0.01,0.0,1.64,3.22,0.0,2020
Vegetation,30027.77,60574.69,203.67,25495.16,134.09,248.1,17399.51,19959.62,39735.39,25402.59,16653.8,1988.7,15279.95,17640.47,12896.34,14060.35,2020
Agriculture,16091.27,32587.15,35.57,14371.13,116.18,172.1,8762.85,14376.51,27669.9,16029.6,8086.59,1100.85,9962.65,12318.27,10820.86,8432.94,2020
Forest,13528.03,24923.09,157.75,10336.4,4.44,42.43,8409.85,4948.56,10321.7,8467.55,8083.37,857.15,4957.41,4592.93,1628.37,5406.99,2020
Trees and shrubs,182.9,914.24,7.55,290.28,6.49,19.86,135.85,224.25,621.86,624.75,434.97,14.22,97.88,524.0,59.04,135.0,2020
Heath,12.9,17.52,0.06,132.14,0.7,2.6,1.41,17.2,247.66,52.55,3.83,0.97,27.14,163.03,21.97,12.83,2020
Moor,20.09,128.63,0.45,2.13,0.35,1.96,0.83,29.54,511.63,12.09,0.86,0.02,0.62,1.25,87.8,0.48,2020
Mire,3.39,22.81,0.55,39.72,2.44,2.5,4.79,132.4,65.2,13.35,5.86,0.28,5.16,39.67,42.07,5.01,2020
"Infertile land, area without vegetation",189.19,1981.25,1.73,323.35,3.49,6.64,83.94,231.16,297.44,202.7,38.32,15.21,229.09,1.32,236.24,67.1,2020
Water body,392.16,1218.02,58.47,996.76,48.48,62.13,292.37,1336.94,1002.84,617.26,285.22,25.73,438.42,458.91,766.7,194.03,2020
Body of running water,283.35,502.34,30.0,345.5,38.21,43.01,218.56,202.13,626.56,319.04,217.67,20.48,145.63,248.26,276.63,96.09,2020
Port basin,5.17,1.69,0.6,0.73,5.57,7.26,1.35,6.25,11.98,8.42,4.5,0.11,0.53,2.03,17.99,0.0,2020
Body of standing water,103.64,714.0,27.87,650.53,4.7,7.61,72.47,936.35,339.7,289.81,63.05,5.14,292.27,208.63,356.8,97.94,2020
Sea,0.0,0.0,0.0,0.0,0.0,4.26,0.0,192.21,24.6,0.0,0.0,0.0,0.0,0.0,115.27,0.0,2020
Housing area,3357.85,5457.12,493.82,2015.96,186.01,351.64,1990.64,1295.44,4503.82,5718.63,1720.64,398.02,1939.02,1570.46,1459.03,1250.85,2021
Residential building area,1584.34,2221.23,223.08,681.56,69.27,169.65,926.65,390.65,2086.44,2454.05,739.64,207.55,877.68,393.75,692.15,335.05,2021
Industrial and commercial area,748.31,950.64,66.73,447.45,52.0,70.05,349.45,228.25,805.7,1030.33,301.23,78.41,361.72,309.91,205.65,272.85,2021
Industry and commerce,530.66,490.24,35.82,289.38,35.73,43.8,218.36,146.29,465.57,658.68,184.47,53.92,232.55,166.38,111.26,174.57,2021
Stockpile,13.81,3.63,0.07,5.96,0.49,0.03,9.15,0.48,11.62,35.45,4.14,5.41,20.44,23.07,2.03,6.73,2021
Mining company,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.2,6.35,0.01,0.0,0.0,1.25,0.0,2.26,2021
"Open-cast mine, pit, quarry",72.03,155.45,0.05,227.49,0.03,0.29,42.86,55.31,209.18,190.62,45.1,6.2,215.74,93.48,44.72,38.42,2021
Mixed-use area,349.61,1210.98,28.54,223.49,7.65,15.31,249.25,173.13,613.29,707.15,187.07,37.16,68.87,148.71,231.18,152.23,2021
